861             800          
4.000000      35.000000     0.700000       
4.000000      36.000000     0.720000       
4.000000      37.000000     0.740000       
4.000000      38.000000     0.760000       
4.000000      39.000000     0.780000       
4.000000      40.000000     0.800000       
5.000000      0.000000      0.000000       
5.000000      1.000000      0.020000       
5.000000      2.000000      0.040000       
5.000000      3.000000      0.060000       
5.000000      4.000000      0.080000       
5.000000      5.000000      0.100000       
5.000000      6.000000      0.120000       
5.000000      7.000000      0.140000       
5.000000      8.000000      0.160000       
5.000000      9.000000      0.180000       
5.000000      10.000000     0.200000       
5.000000      11.000000     0.220000       
5.000000      12.000000     0.240000       
5.000000      13.000000     0.260000       
5.000000      14.000000     0.280000       
5.000000      15.000000     0.300000       
5.000000      16.000000     0.320000       
5.000000      17.000000     0.340000       
5.000000      18.000000     0.360000       
5.000000      19.000000     0.380000       
5.000000      20.000000     0.400000       
5.000000      21.000000     0.420000       
5.000000      22.000000     0.440000       
5.000000      23.000000     0.460000       
5.000000      24.000000     0.480000       
5.000000      25.000000     0.500000       
5.000000      26.000000     0.520000       
5.000000      27.000000     0.540000       
5.000000      28.000000     0.560000       
5.000000      29.000000     0.580000       
5.000000      30.000000     0.600000       
5.000000      31.000000     0.620000       
5.000000      32.000000     0.640000       
5.000000      33.000000     0.660000       
5.000000      34.000000     0.680000       
5.000000      35.000000     0.700000       
5.000000      36.000000     0.720000       
5.000000      37.000000     0.740000       
5.000000      38.000000     0.760000       
5.000000      39.000000     0.780000       
5.000000      40.000000     0.800000       
6.000000      0.000000      0.000000       
6.000000      1.000000      0.020000       
6.000000      2.000000      0.040000       
6.000000      3.000000      0.060000       
6.000000      4.000000      0.080000       
6.000000      5.000000      0.100000       
6.000000      6.000000      0.120000       
6.000000      7.000000      0.140000       
6.000000      8.000000      0.160000       
6.000000      9.000000      0.180000       
6.000000      10.000000     0.200000       
6.000000      11.000000     0.220000       
6.000000      12.000000     0.240000       
6.000000      13.000000     0.260000       
6.000000      14.000000     0.280000       
6.000000      15.000000     0.300000       
6.000000      16.000000     0.320000       
6.000000      17.000000     0.340000       
6.000000      18.000000     0.360000       
6.000000      19.000000     0.380000       
6.000000      20.000000     0.400000       
6.000000      21.000000     0.420000       
6.000000      22.000000     0.440000       
6.000000      23.000000     0.460000       
6.000000      24.000000     0.480000       
6.000000      25.000000     0.500000       
6.000000      26.000000     0.520000       
6.000000      27.000000     0.540000       
6.000000      28.000000     0.560000       
6.000000      29.000000     0.580000       
6.000000      30.000000     0.600000       
6.000000      31.000000     0.620000       
6.000000      32.000000     0.640000       
6.000000      33.000000     0.660000       
6.000000      34.000000     0.680000       
6.000000      35.000000     0.700000       
6.000000      36.000000     0.720000       
6.000000      37.000000     0.740000       
6.000000      38.000000     0.760000       
6.000000      39.000000     0.780000       
6.000000      40.000000     0.800000       
7.000000      0.000000      0.000000       
7.000000      1.000000      0.020000       
7.000000      2.000000      0.040000       
7.000000      3.000000      0.060000       
7.000000      4.000000      0.080000       
7.000000      5.000000      0.100000       
7.000000      6.000000      0.120000       
7.000000      7.000000      0.140000       
7.000000      8.000000      0.160000       
7.000000      9.000000      0.180000       
7.000000      10.000000     0.200000       
7.000000      11.000000     0.220000       
7.000000      12.000000     0.240000       
7.000000      13.000000     0.260000       
7.000000      14.000000     0.280000       
7.000000      15.000000     0.300000       
7.000000      16.000000     0.320000       
7.000000      17.000000     0.340000       
7.000000      18.000000     0.360000       
7.000000      19.000000     0.380000       
7.000000      20.000000     0.400000       
7.000000      21.000000     0.420000       
7.000000      22.000000     0.440000       
7.000000      23.000000     0.460000       
7.000000      24.000000     0.480000       
7.000000      25.000000     0.500000       
7.000000      26.000000     0.520000       
7.000000      27.000000     0.540000       
7.000000      28.000000     0.560000       
7.000000      29.000000     0.580000       
7.000000      30.000000     0.600000       
7.000000      31.000000     0.620000       
7.000000      32.000000     0.640000       
7.000000      33.000000     0.660000       
7.000000      34.000000     0.680000       
7.000000      35.000000     0.700000       
7.000000      36.000000     0.720000       
7.000000      37.000000     0.740000       
7.000000      38.000000     0.760000       
7.000000      39.000000     0.780000       
7.000000      40.000000     0.800000       
8.000000      0.000000      0.000000       
8.000000      1.000000      0.020000       
8.000000      2.000000      0.040000       
8.000000      3.000000      0.060000       
8.000000      4.000000      0.080000       
8.000000      5.000000      0.100000       
8.000000      6.000000      0.120000       
8.000000      7.000000      0.140000       
8.000000      8.000000      0.160000       
8.000000      9.000000      0.180000       
8.000000      10.000000     0.200000       
8.000000      11.000000     0.220000       
8.000000      12.000000     0.240000       
8.000000      13.000000     0.260000       
8.000000      14.000000     0.280000       
8.000000      15.000000     0.300000       
8.000000      16.000000     0.320000       
8.000000      17.000000     0.340000       
8.000000      18.000000     0.360000       
8.000000      19.000000     0.380000       
8.000000      20.000000     0.400000       
8.000000      21.000000     0.420000       
8.000000      22.000000     0.440000       
8.000000      23.000000     0.460000       
8.000000      24.000000     0.480000       
8.000000      25.000000     0.500000       
8.000000      26.000000     0.520000       
8.000000      27.000000     0.540000       
8.000000      28.000000     0.560000       
8.000000      29.000000     0.580000       
8.000000      30.000000     0.600000       
8.000000      31.000000     0.620000       
8.000000      32.000000     0.640000       
8.000000      33.000000     0.660000       
8.000000      34.000000     0.680000       
8.000000      35.000000     0.700000       
8.000000      36.000000     0.720000       
8.000000      37.000000     0.740000       
8.000000      38.000000     0.760000       
8.000000      39.000000     0.780000       
8.000000      40.000000     0.800000       
9.000000      0.000000      0.000000       
9.000000      1.000000      0.020000       
9.000000      2.000000      0.040000       
9.000000      3.000000      0.060000       
9.000000      4.000000      0.080000       
9.000000      5.000000      0.100000       
9.000000      6.000000      0.120000       
9.000000      7.000000      0.140000       
9.000000      8.000000      0.160000       
9.000000      9.000000      0.180000       
9.000000      10.000000     0.200000       
9.000000      11.000000     0.220000       
9.000000      12.000000     0.240000       
9.000000      13.000000     0.260000       
9.000000      14.000000     0.280000       
9.000000      15.000000     0.300000       
9.000000      16.000000     0.320000       
9.000000      17.000000     0.340000       
9.000000      18.000000     0.360000       
9.000000      19.000000     0.380000       
9.000000      20.000000     0.400000       
9.000000      21.000000     0.420000       
9.000000      22.000000     0.440000       
9.000000      23.000000     0.460000       
9.000000      24.000000     0.480000       
9.000000      25.000000     0.500000       
9.000000      26.000000     0.520000       
9.000000      27.000000     0.540000       
9.000000      28.000000     0.560000       
