       flux1               flux2            flux3               flux4 
      0.00000000E+00    -0.93079674E-19     0.11111111E-01     0.93079674E-19
      0.00000000E+00    -0.77010538E-19     0.11111111E-01     0.77010538E-19
      0.00000000E+00    -0.52149550E-19     0.11111111E-01     0.52149550E-19
      0.00000000E+00    -0.24104211E-19     0.11111111E-01     0.24104211E-19
      0.00000000E+00     0.12682152E-19     0.11111111E-01    -0.12682152E-19
      0.00000000E+00    -0.13476266E-19     0.11111111E-01     0.13476266E-19
      0.00000000E+00     0.11304035E-19     0.11111111E-01    -0.11304035E-19
      0.00000000E+00    -0.22607801E-19     0.11111111E-01     0.22607801E-19
      0.00000000E+00     0.31152421E-19     0.11111111E-01    -0.31152421E-19
      0.00000000E+00    -0.88485079E-19     0.11111111E-01     0.88485079E-19
      0.00000000E+00    -0.56570440E-19     0.11111111E-01     0.56570440E-19
      0.00000000E+00     0.13781040E-18     0.11111111E-01    -0.13781040E-18
      0.00000000E+00    -0.22165908E-19     0.11111111E-01     0.22165908E-19
      0.00000000E+00     0.45384135E-19     0.11111111E-01    -0.45384135E-19
      0.00000000E+00    -0.11495673E-18     0.11111111E-01     0.11495673E-18
      0.00000000E+00    -0.11334765E-19     0.11111111E-01     0.11334765E-19
      0.00000000E+00     0.10317759E-18     0.11111111E-01    -0.10317759E-18
      0.00000000E+00    -0.11348893E-19     0.11111111E-01     0.11348893E-19
      0.00000000E+00     0.92267992E-19     0.11111111E-01    -0.92267992E-19
      0.00000000E+00     0.57656559E-19     0.11111111E-01    -0.57656559E-19
      0.00000000E+00    -0.11627668E-19     0.11111111E-01     0.11627668E-19
      0.00000000E+00    -0.18399541E-18     0.11111111E-01     0.18399541E-18
      0.00000000E+00    -0.11648531E-19     0.11111111E-01     0.11648531E-19
      0.00000000E+00    -0.11417184E-19     0.11111111E-01     0.11417184E-19
      0.00000000E+00    -0.57560458E-19     0.11111111E-01     0.57560458E-19
      0.00000000E+00    -0.11474193E-19     0.11111111E-01     0.11474193E-19
      0.00000000E+00     0.80520092E-19     0.11111111E-01    -0.80520092E-19
      0.00000000E+00    -0.23056659E-19     0.11111111E-01     0.23056659E-19
      0.00000000E+00    -0.57592146E-19     0.11111111E-01     0.57592146E-19
      0.00000000E+00     0.22974443E-19     0.11111111E-01    -0.22974443E-19
      0.00000000E+00     0.46053553E-19     0.11111111E-01    -0.46053553E-19
      0.00000000E+00     0.34558275E-19     0.11111111E-01    -0.34558275E-19
      0.00000000E+00    -0.80624456E-19     0.11111111E-01     0.80624456E-19
      0.00000000E+00     0.57593018E-19     0.11111111E-01    -0.57593018E-19
      0.00000000E+00    -0.46087017E-19     0.11111111E-01     0.46087017E-19
      0.00000000E+00     0.42321260E-23     0.11111111E-01    -0.42321260E-23
      0.00000000E+00     0.69137668E-19     0.11111111E-01    -0.69137668E-19
      0.00000000E+00    -0.23045085E-19     0.11111111E-01     0.23045085E-19
      0.00000000E+00     0.46090389E-19     0.11111111E-01    -0.46090389E-19
      0.00000000E+00    -0.10369948E-18     0.11111111E-01     0.10369948E-18
      0.00000000E+00    -0.13315190E-22     0.11111111E-01     0.13315190E-22
      0.00000000E+00    -0.14977311E-18     0.11111111E-01     0.14977311E-18
      0.00000000E+00     0.10369367E-18     0.11111111E-01    -0.10369367E-18
      0.00000000E+00     0.34568702E-19     0.11111111E-01    -0.34568702E-19
      0.00000000E+00     0.10369796E-18     0.11111111E-01    -0.10369796E-18
      0.00000000E+00     0.92172820E-19     0.11111111E-01    -0.92172820E-19
      0.00000000E+00    -0.11521814E-18     0.11111111E-01     0.11521814E-18
      0.00000000E+00     0.35960140E-19     0.11111111E-01    -0.35960140E-19
      0.00000000E+00    -0.80653386E-19     0.11111111E-01     0.80653386E-19
      0.00000000E+00     0.92361399E-19     0.11111111E-01    -0.92361399E-19
      0.00000000E+00     0.23383464E-19     0.11111111E-01    -0.23383464E-19
      0.00000000E+00     0.15275771E-18     0.11111111E-01    -0.15275771E-18
      0.00000000E+00     0.48680399E-20     0.11111111E-01    -0.48680399E-20
      0.00000000E+00    -0.46037356E-19     0.11111111E-01     0.46037356E-19
      0.00000000E+00    -0.10748844E-18     0.11111111E-01     0.10748844E-18
      0.00000000E+00    -0.36153263E-19     0.11111111E-01     0.36153263E-19
      0.00000000E+00     0.90567765E-20     0.11111111E-01    -0.90567765E-20
      0.00000000E+00     0.30672746E-19     0.11111111E-01    -0.30672746E-19
      0.00000000E+00     0.52140241E-19     0.11111111E-01    -0.52140241E-19
      0.00000000E+00    -0.57585548E-19     0.11111111E-01     0.57585548E-19
      0.00000000E+00    -0.35260302E-20     0.11111111E-01     0.35260302E-20
      0.00000000E+00    -0.85877472E-19     0.11111111E-01     0.85877472E-19
      0.00000000E+00    -0.14092869E-18     0.11111111E-01     0.14092869E-18
      0.00000000E+00     0.54173550E-20     0.11111111E-01    -0.54173550E-20
      0.00000000E+00     0.84803061E-19     0.11111111E-01    -0.84803061E-19
      0.00000000E+00    -0.30843118E-19     0.11111111E-01     0.30843118E-19
      0.00000000E+00     0.14405571E-18     0.11111111E-01    -0.14405571E-18
      0.00000000E+00     0.77286235E-19     0.11111111E-01    -0.77286235E-19
      0.00000000E+00     0.37467540E-19     0.11111111E-01    -0.37467540E-19
      0.00000000E+00     0.67660543E-19     0.11111111E-01    -0.67660543E-19
      0.00000000E+00    -0.16054162E-18     0.11111111E-01     0.16054162E-18
      0.00000000E+00     0.11443007E-18     0.11111111E-01    -0.11443007E-18
      0.00000000E+00     0.40800118E-19     0.11111111E-01    -0.40800118E-19
      0.00000000E+00    -0.18944377E-18     0.11111111E-01     0.18944377E-18
      0.00000000E+00    -0.43698554E-19     0.11111111E-01     0.43698554E-19
      0.00000000E+00    -0.14393394E-18     0.11111111E-01     0.14393394E-18
      0.00000000E+00    -0.40422868E-19     0.11111111E-01     0.40422868E-19
      0.00000000E+00    -0.43877657E-19     0.11111111E-01     0.43877657E-19
      0.00000000E+00     0.21023094E-20     0.11111111E-01    -0.21023094E-20
      0.00000000E+00    -0.13255532E-18     0.11111111E-01     0.13255532E-18
      0.00000000E+00    -0.50943547E-19     0.11111111E-01     0.50943547E-19
      0.00000000E+00     0.13184310E-18     0.11111111E-01    -0.13184310E-18
      0.00000000E+00    -0.80813741E-19     0.11111111E-01     0.80813741E-19
      0.00000000E+00     0.17245694E-19     0.11111111E-01    -0.17245694E-19
      0.00000000E+00    -0.74590068E-19     0.11111111E-01     0.74590068E-19
      0.00000000E+00     0.51379200E-19     0.11111111E-01    -0.51379200E-19
      0.00000000E+00     0.11650626E-19     0.11111111E-01    -0.11650626E-19
      0.00000000E+00     0.12675083E-18     0.11111111E-01    -0.12675083E-18
      0.00000000E+00     0.23009876E-19     0.11111111E-01    -0.23009876E-19
      0.00000000E+00    -0.11503020E-19     0.11111111E-01     0.11503020E-19
      0.00000000E+00     0.34482121E-19     0.11111111E-01    -0.34482121E-19
      0.00000000E+00    -0.74690918E-19     0.11111111E-01     0.74690918E-19
      0.00000000E+00     0.57324284E-20     0.11111111E-01    -0.57324284E-20
      0.00000000E+00    -0.12676746E-18     0.11111111E-01     0.12676746E-18
      0.00000000E+00    -0.67668339E-19     0.11111111E-01     0.67668339E-19
      0.00000000E+00     0.97800383E-19     0.11111111E-01    -0.97800383E-19
      0.00000000E+00     0.41026179E-20     0.11111111E-01    -0.41026179E-20
      0.00000000E+00     0.57595308E-19     0.11111111E-01    -0.57595308E-19
      0.00000000E+00    -0.15834813E-18     0.11111111E-01     0.15834813E-18
      0.00000000E+00    -0.13485609E-18     0.11111111E-01     0.13485609E-18
      0.00000000E+00    -0.67041968E-19     0.11111111E-01     0.67041968E-19
      0.00000000E+00     0.14489724E-18     0.11111111E-01    -0.14489724E-18
      0.00000000E+00     0.10315688E-19     0.11111111E-01    -0.10315688E-19
      0.00000000E+00     0.90557935E-19     0.11111111E-01    -0.90557935E-19
      0.00000000E+00     0.49225425E-19     0.11111111E-01    -0.49225425E-19
      0.00000000E+00    -0.38607887E-19     0.11111111E-01     0.38607887E-19
      0.00000000E+00     0.47439745E-19     0.11111111E-01    -0.47439745E-19
      0.00000000E+00    -0.32268694E-19     0.11111111E-01     0.32268694E-19
      0.00000000E+00     0.44733810E-20     0.11111111E-01    -0.44733810E-20
      0.00000000E+00    -0.39059624E-19     0.11111111E-01     0.39059624E-19
      0.00000000E+00    -0.79530607E-19     0.11111111E-01     0.79530607E-19
      0.00000000E+00     0.12196766E-18     0.11111111E-01    -0.12196766E-18
      0.00000000E+00     0.13137473E-18     0.11111111E-01    -0.13137473E-18
      0.00000000E+00    -0.43543970E-21     0.11111111E-01     0.43543970E-21
      0.00000000E+00     0.78574691E-19     0.11111111E-01    -0.78574691E-19
      0.00000000E+00     0.80761349E-17     0.11111111E-01    -0.80761349E-17
      0.00000000E+00     0.62401572E-17     0.11111111E-01    -0.62401572E-17
      0.00000000E+00    -0.16714263E-18     0.11111111E-01     0.16714263E-18
      0.00000000E+00     0.27340287E-19     0.11111111E-01    -0.27340287E-19
      0.00000000E+00     0.48626300E-17     0.11111111E-01    -0.48626300E-17
      0.00000000E+00     0.24716525E-17     0.11111111E-01    -0.24716525E-17
      0.00000000E+00     0.23124547E-19     0.11111111E-01    -0.23124547E-19
      0.00000000E+00     0.28420447E-19     0.11111111E-01    -0.28420447E-19
      0.00000000E+00     0.98515112E-19     0.11111111E-01    -0.98515112E-19
      0.00000000E+00     0.80096701E-18     0.11111111E-01    -0.80096701E-18
      0.00000000E+00     0.10256266E-17     0.11111111E-01    -0.10256266E-17
      0.00000000E+00     0.16973085E-18     0.11111111E-01    -0.16973085E-18
      0.00000000E+00     0.18065676E-18     0.11111111E-01    -0.18065676E-18
      0.00000000E+00     0.79831315E-18     0.11111111E-01    -0.79831315E-18
      0.00000000E+00     0.58936618E-17     0.11111111E-01    -0.58936618E-17
      0.00000000E+00     0.30649169E-18     0.11111111E-01    -0.30649169E-18
      0.00000000E+00     0.37781774E-18     0.11111111E-01    -0.37781774E-18
      0.00000000E+00     0.52880688E-18     0.11111111E-01    -0.52880688E-18
      0.00000000E+00     0.41159026E-17     0.11111111E-01    -0.41159026E-17
      0.00000000E+00     0.49866931E-18     0.11111111E-01    -0.49866931E-18
      0.00000000E+00     0.52410836E-18     0.11111111E-01    -0.52410836E-18
      0.00000000E+00     0.64771476E-18     0.11111111E-01    -0.64771476E-18
      0.00000000E+00     0.65682954E-17     0.11111111E-01    -0.65682954E-17
      0.00000000E+00     0.21161488E-17     0.11111111E-01    -0.21161488E-17
      0.00000000E+00     0.65898324E-18     0.11111111E-01    -0.65898324E-18
      0.00000000E+00     0.96364846E-19     0.11111111E-01    -0.96364846E-19
      0.00000000E+00    -0.30437522E-18     0.11111111E-01     0.30437522E-18
      0.00000000E+00     0.64619473E-18     0.11111111E-01    -0.64619473E-18
     -0.22430070-311     0.74605100E-18     0.11111111E-01    -0.74605100E-18
     -0.67980535-296    -0.50889899E-17     0.11111111E-01     0.50889899E-17
     -0.42009277-284     0.78380705E-18     0.11111111E-01    -0.78380705E-18
     -0.13315691-274     0.72256509E-18     0.11111111E-01    -0.72256509E-18
     -0.12392873-266     0.11167564E-17     0.11111111E-01    -0.11167564E-17
     -0.46967673-259    -0.10877581E-16     0.11111111E-01     0.10877581E-16
     -0.22990948-240    -0.16214684E-17     0.11111111E-01     0.16214684E-17
     -0.41256754-219     0.78921593E-18     0.11111111E-01    -0.78921593E-18
     -0.54976611-205     0.67366967E-18     0.11111111E-01    -0.67366967E-18
     -0.48876292-195    -0.14417378E-17     0.11111111E-01     0.14417378E-17
     -0.20546025-187    -0.14870794E-17     0.11111111E-01     0.14870794E-17
     -0.30228834-181     0.67486265E-18     0.11111111E-01    -0.67486265E-18
     -0.47712606-176     0.61635853E-18     0.11111111E-01    -0.61635853E-18
     -0.96473175-171     0.62194138E-18     0.11111111E-01    -0.62194138E-18
     -0.34798426-157     0.61397988E-18     0.11111111E-01    -0.61397988E-18
     -0.14865408-143     0.76642541E-18     0.11111111E-01    -0.76642541E-18
     -0.13643404-134     0.74411846E-18     0.11111111E-01    -0.74411846E-18
     -0.31772040-128     0.73526341E-18     0.11111111E-01    -0.73526341E-18
     -0.25687285-123     0.65554522E-18     0.11111111E-01    -0.65554522E-18
